school,Tot_population,Per_ESL,mean_Median_house_income,Per_POC,transportation_area_sqmiles,tot_enrolled_K_8,region,tot_lang,Per_enrolled_K_8,Per_other_language,Level,Category,FRL,White,BIPOC,Tot pop OSPI,%BIPOC,%FRL,Capacity,%Capacity used,Tot pop Jan 2021,Gen pop,ELL,SpEd,%ELL,%Sped,Equity Tier,Students elegible for busing,%student pop. eleigle for busing,FRL students elegible for busing,Transportation area linked school area,ZIP code,SPS Board District
Queen Anne Elementary,109613,2.218714933447675,97703.35294117648,24.88938355851952,9.216825179835551,6422,Central Seattle,20574,5.858794121135267,18.769671480572562,Elementary,Option,18,162,66,228,28.94736842,7.894736842,500,44,222,188,9,26,4.1,11.7,4,66,29.72972973,<10,McClure Middle School,98109,4
Orca K-8,104148,22.036909014095325,63064.86363636364,64.04731727925645,12.939718990434738,10491,Central Seattle,34243,10.073165111187924,32.87917194761301,K-8,Option,155,183,241,424,56.83962264,36.55660377,456,93,423,352,43,36,10.2,8.5,4,99,23.40425532,41,Mercer Int MS + Hawthorne Elementary + Kimball Elementary,98118,7
TOPS K-8,219453,8.162567839127284,79444.47619047618,39.81080231302375,14.524441801399488,10659,Central Seattle,51486,4.857076458284918,23.461059999179778,K-8,Option,131,214,271,485,55.87628866,27.01030928,446,110,490,389,49,63,10,12.9,4,284,57.95918367,74,"Elementary attendance areas of: Montlake, McGilvra, Stevens, Lowell(but not past I5), Madrona, Gatzert, Leschi, Thurgood Marshall, John Muir and Hawthorn",98102,3
John Stanford International School,72617,1.8521833730393709,98705.5,17.694203836567198,3.525236623359284,4851,North Seattle,7656,6.680253935028987,10.542985802222619,Elementary,Option,29,201,260,461,56.39913232,6.290672451,437,104,455,346,73,39,16,8.6,4,82,18.02197802,<10,Hamilton Int. MS,98105,2
McDonald International School,72617,1.8521833730393709,98705.5,17.694203836567198,3.525236623359284,4851,North Seattle,7656,6.680253935028987,10.542985802222619,Elementary,Option,10,254,219,473,46.30021142,2.114164905,471,100,470,368,79,28,16.8,6,4,49,10.42553191,<10,Hamilton Int. MS,98105,2
Cedar Park,86481,9.208959193348829,86557.5,32.35739642233554,6.350009403349897,6718,North Seattle,17911,7.768180293937396,20.710907598200762,Elementary,Option,41,113,110,223,49.32735426,18.38565022,290,78,225,191,22,13,9.8,5.8,4,71,31.55555556,15,Jane Addams MS,98125,1
Thornton Creek Elementary,125838,7.793353359080722,86853.15384615384,30.671975079069913,10.02997310428791,10859,North Seattle,26761,8.629348845340836,21.266231186128195,Elementary,Option,43,391,182,573,31.76265271,7.504363002,586,99,580,472,22,93,3.8,16,4,217,37.4137931,17,Eckstein MS + Olympic View Elementary,98115,3
Hazel Wolf K-8,145059,8.09187985578282,85266.66666666667,31.767074087095597,14.824454125699477,12519,North Seattle,31115,8.63028147167704,21.44989280223909,K-8,Option,140,432,315,747,42.1686747,18.7416332,658,113,744,593,76,87,10.2,11.7,4,309,41.53225806,59,Jane Addams MS + Eckstein MS + Olympic View Elementary,98125,1
Salmon Bay K-8,197112,4.431490726084662,88842.35135135135,24.05130078331101,14.898395875054609,13847,North Seattle,26901,7.024940135557449,13.647570924144647,K-8,Option,62,487,174,661,26.32375189,9.379727685,685,96,661,504,19,142,2.9,21.5,4,186,28.13918306,14,Hamilton Int. MS + Whitman MS + Robert Eaglestaff MS,98117,4
Licton Springs K-8,221487,7.091612600288053,85684.04347826086,30.212156921173705,20.69274675952455,17973,North Seattle,42373,8.114697476601336,19.13114539453783,K-8,Option,80,52,80,132,60.60606061,60.60606061,167,81,135,82,30,30,22.2,22.2,4,85,62.96296296,47,Jane Adams MS + Eckstein MS + Robert Eagle Staff MS,98103,2
South Shore K8,85434,22.383360254699532,64053.333333333336,73.00021068895288,7.193088676717732,10727,South Seattle,32778,12.555891097221247,38.36645831870216,K-8,Option,388,68,534,602,88.70431894,64.45182724,706,87,611,414,121,87,19.8,14.2,2,236,38.62520458,140,Aki Kurose MS - Hawthorne elementary,98118,7
Louisa Boren STEM K-8,120331,8.991864108168302,75565.44,37.55142066466663,18.23841916899588,12501,West Seattle,20307,10.388844105010346,16.87595050319535,K-8,Option,193,251,294,545,53.94495413,35.41284404,576,95,546,401,61,93,11.2,17,4,238,43.58974359,50,Madison MS + Denny Int. MS,98106,5
Pathfinder K-8,120331,8.991864108168302,75565.44,37.55142066466663,18.23841916899588,12501,West Seattle,20307,10.388844105010346,16.87595050319535,K-8,Option,53,337,155,492,31.50406504,10.77235772,460,107,490,390,6,98,1.2,20,4,307,62.65306122,32,Madison MS + Denny Int. MS,98106,5
